Measure,Time,Band,Cluster,Normative_Mean,Normative_Std,diff,tCI_5,tCI_95,corr,cor_5,corr_95,cv,cv_5,cv_95,ICC,ICC_5,ICC_95,SEM
ERSP,120 - 180,25 - 35,Parieto-Occipital Left,0.025099211447814074,0.05207165428517665,0.0042893474282239,-0.01,0.02,0.7156027078379466,0.56,0.82,-42.52526040725024,-35.93255007957221,-49.11797073492822,0.7158632749722686,0.56,0.82,0.0306751872373382
ERSP,120 - 180,25 - 35,Parieto-Occipital Midline,0.012008907126313707,0.04030753715474021,0.0048524847024806,-0.01,0.02,0.3723693439654058,0.12,0.58,244.10264239648055,205.7962193838353,282.4090654091257,0.3732950993383027,0.13,0.58,0.0299687796833293
ERSP,120 - 180,25 - 35,Parieto-Occipital Right,0.0009130399660770371,0.03612922635643856,0.0099913995829845,0.0,0.02,0.3647911912297749,0.12,0.57,710.3676745631859,599.0226686128627,821.7126805135091,0.3490403969214815,0.11,0.55,0.0253528364931102
ERSP,120 - 180,25 - 35,Temporal Left,0.015714456422234926,0.04100219173293734,0.002651242744331,-0.01,0.02,0.3980242669954724,0.15,0.6,110.7872734202832,93.36417847662727,128.21036836393912,0.3964041781778596,0.15,0.59,0.0349254787746792
ERSP,120 - 180,25 - 35,Temporal Right,0.0007538882013090714,0.03243506267269838,0.0050180683573286,-0.0,0.01,0.3794371051182371,0.13,0.58,-205.4516468216865,-173.3371590371642,-237.56613460620875,0.3784721782894951,0.13,0.58,0.0251817310389783
GERSP,120 - 180,25 - 35,Global,0.020788057658736578,0.038323336205557196,0.0059749976705102,-0.0,0.01,0.666030540618381,0.49,0.79,-95.39015791435536,-80.51636937002044,-110.26394645869031,0.6625198047639363,0.49,0.79,0.0232668150146545
GITC,120 - 180,25 - 35,Global,0.1390747410500899,0.04297786404521322,0.007370555599854,-0.0,0.02,0.7019226065802722,0.54,0.81,15.28686995356493,12.823537501151824,17.750202405978033,0.6970031606102357,0.54,0.81,0.0261441892311591
GRSP,120 - 180,25 - 35,Global,8.892482456649343,3.825089077748615,-0.1945336548064527,-0.83,0.44,0.7523767373521311,0.61,0.85,14.803443112231504,12.41583757264511,17.191048651817898,0.7458296204156268,0.6,0.84,1.6712710291130013
ITC,120 - 180,25 - 35,Anterior-Frontal Left,0.13667594189744814,0.056333472216070025,0.0072867842792399,-0.01,0.02,0.5351497599348626,0.32,0.7,26.319146764473384,22.127651552136943,30.510641976809826,0.5322720903536803,0.32,0.69,0.0439860184748889
ITC,120 - 180,25 - 35,Anterior-Frontal Midline,0.14791990262652221,0.05808368066885407,0.0115777758883114,-0.01,0.03,0.5946233285028832,0.4,0.74,24.24870453592484,20.381535953283947,28.115873118565744,0.5885478371210195,0.39,0.73,0.0443613539775245
ITC,120 - 180,25 - 35,Anterior-Frontal Right,0.13433240713000574,0.046801330482251734,0.0075945458646407,-0.01,0.02,0.549795336587526,0.34,0.71,21.893503981724727,18.395268300213992,25.39173966323546,0.5485875143951205,0.34,0.71,0.035850114267029
ITC,120 - 180,25 - 35,Centro-Parietal Left,0.17197425131588995,0.06876774645293847,0.0080067102326951,-0.01,0.02,0.7520083302543744,0.61,0.85,19.953392588370097,16.759067723961348,23.147717452778853,0.7498763571363728,0.61,0.84,0.0367892739893433
ITC,120 - 180,25 - 35,Centro-Parietal Midline,0.14864219098755196,0.05868722811875273,0.0026737859494988,-0.01,0.02,0.4505172021158454,0.22,0.64,23.17235367040903,19.47379121633776,26.870916124480317,0.4471813548176006,0.21,0.63,0.0434090100359034
ITC,120 - 180,25 - 35,Centro-Parietal Right,0.1253533229098448,0.0415760717586836,0.0043892597602545,-0.01,0.02,0.470597326522248,0.24,0.65,18.967672786447917,15.927757051052003,22.00758852184383,0.4720817608680327,0.24,0.65,0.0292084654855048
ITC,120 - 180,25 - 35,Fronto-Central Left,0.14555306874576604,0.06012670772849529,0.0104510868847787,-0.0,0.03,0.5754888018595095,0.37,0.73,21.359232364936688,17.94468823029724,24.77377649957614,0.5700488261282428,0.37,0.72,0.0410755452191956
ITC,120 - 180,25 - 35,Fronto-Central Midline,0.1788423378650688,0.08050238608448773,0.0127816192351902,-0.01,0.03,0.6889082353001595,0.52,0.8,22.844291172486244,19.19711841807126,26.491463926901236,0.6850690856707822,0.52,0.8,0.0489974854672904
